A. ZARATE GENERAL HOSPITAL	----->Pulanglupa, Las Piñas City
PUYAOAN GENERAL HOSPITAL	----->Bulala,Camalaniugan, Cagayan
Q.C. ST. AGNES GEN. OSPITAL	----->241 Roosevelt Ave., Quezon City
QUEEN MARY HELP OF	----->CHRISTIAN HOSPITAL Cardona, Rizal
QUEEN MARY HOSPITAL	----->Ibaan, Batangas
QUEENSBERRY HOSPITAL	----->56 Ramirez St., Novaliches, Quezon City
QUEZON CITY GENERAL HOSPITAL	----->Seminary Road, Edsa Quezon City
QUEZON COMMUNITY INFIRMARY	----->Arellano Quezon, Isabela
QUEZON INSTITUTE	----->E. Rodriguez Sr., Ave. Quezon City
QUEZON MEDICARE HOSPITAL	----->Alfonso XIII, Quezon, Palawan
QUEZON MEDICAL HOSPITAL	----->Lucena City, Quezon
QUIJANO CLINIC AND HOSPITAL	----->National Highway, Tacurong City Sultan Kudarat
QUINAPONDAN COMMUNITY	----->HOSPITAL Quinapondan, Eastern, Samar
QUIRINO MEMORIAL MEDICAL	----->CENTER Katipunan Road Proj. 4, Q. C.
QUIRINO PROVINCIAL HOSPITAL	----->Cabarroguis, Quirino,Isabela
R DE C GALVEZ MEDICAL CENTER	----->San Ildefonso, Bulacan
R and L MEDICAL CLINIC	----->Aloran, Misamis Oriental
RTN FOUNDATION HOSPITAL, INC.	----->Rio Tuba, Bataraza, Palawan
R. S. CLINIC AND HOSPITAL	----->5038 Rizal St., Angeles City
RABARA CLINIC AND HOSPITAL	----->59 Rizal St., Vigan, Ilocos Sur
RAFAEL LAZATIN MEMORIAL	----->MEDICAL CENTER Visitacion St. cor. Pampang Road Villa Rosario, Pampang Angeles City
RAGAY DISTRICT HOSPITAL	----->Ragay, Camarines Sur
RALOTA-LAGRADA MEDICAL	----->CLINIC Sta. Cruz, Davao del Sur
RAMIRO COMMUNITY	----->HOSPITAL INC. Tagbilaran City
RAMON MASA SR. MEMORIAL	----->DISTRICT HOSPITAL Sibalom, Antique
RAMON TABIANA MEMORIAL	----->DISTRICT HOSPITAL Cabatuan, Iloilo
RAMONES GENERAL	----->HOSPITAL - ISABELA BRANCH San Mateo, Isabela
RAMOS GENERAL HOSPITAL	----->P. Hilario St., Tarlac, Tarlac
RANADA GENERAL HOSPITAL	----->Brgy. 9 Balintawak St. Laoag City
RAPU-RAPU DISTRICT HOSPITAL	----->Rapu-Rapu, Albay
RAYOS-VALENTIN HOSPITAL	----->Baltazar Subd., Paniqui, Tarlac
RECEL MEDICAL CLINIC	----->AND HOSPITAL Sta. Catalina, Ilocos Sur
REDOBLE MEDICAL CLINIC	----->Buug, Zamboanga Sibugay
REGION 1 MEDICAL CENTER	----->Arellano St. Dagupan City Pangasinan
REINHARD WIRTGEN	----->MEMORIAL HOSPITAL Poblacion, Alegria, Cebu
REMEDIOS TRINIDAD	----->ROMUALDEZ HOSPITAL Bgy. Calanipawan, Tacloban City
RENMAR SPECIALIST HOSPITAL	----->Santiago City, Isabela
REP. PEDRO TRONO MEMORIAL	----->DISTRICT HOSPITAL Guimbal, Iloilo
RESEARCH INSTITUTE FOR	----->TROPICAL MEDICINE Alabang, Muntinlupa City
RESONABLE HOSPITAL	----->Medarang, San Jose, Ilocos Sur
RETUERMA GENERAL HOSPITAL	----->Guinobatan, Albay
REVELO MEDICAL CLINIC	----->Clarin, Misamis Occidental
REYES CLINIC AND HOSPITAL	----->Sta. Maria, Ilocos Sur
RICARDO LIMSO MEDICAL	----->CENTER, INC. V. Illustre St., Davao City
RICARDO MANINGO MEMORIAL	----->HOSPITAL Camotes Island, Cebu
RICARDO P. RODRIGUEZ	----->MEMORIAL HOSPITAL Bulaon Resettlement San Fernando City, Pampanga
RICO MEDICAL  CLINIC	----->AND HOSPITAL Trento, Agusan Del Sur
RICO'S HOSPITAL	----->Tabaco City, Albay
RIDON'S ST. JUDE MEDICAL CENTER	----->Olongapo City, Zambales
RILLERA MEDICAL HOSPITAL	----->Arosa, Germinal Bolinao, Pangasinan
RINCONADA MEDICAL CENTER	----->Nabua, Camarines Sur
RIVERA MEDICAL CENTER, INC.	----->7302 National Highway San Francisco, Panabo City
RIZAL MEDICAL CENTER	----->Pasig Blvd., Pasig City
RIZAL PROVINCIAL HOSPITAL	----->Tomas Claudio, Morong, Rizal
ROA MEDICAL CLINIC	----->Cogon, Balingasag Misamis Oriental
RODOLFO MORALES MEDICAL CLINIC	----->(former Morales Medical Clinic) Sta. Maria, Davao Del Sur
ROEL I. SENADOR, MD	----->MEMORIAL HOSPITAL Tupi, South Cotabato
ROGACIANO H. MERCADO	----->MEMORIAL HOSPITAL Pob., Sta. Maria, Bulacan
ROLDAN MEDICAL CLINIC	----->M'lang, North Cotabato
ROMANA PANGAN DISTRICT	----->HOSPITAL Floridablanca, Pampanga
ROMEL CRUZ HOSPITAL	----->Baog, Matimbo, Malolos, Bulacan
ROMEO B. SIBUD COUNTY	----->HOSPITAL Pob. Titay, Zamboanga Sibugay
ROMBLON DISTRICT	----->HOSPITAL Romblon, Romblon
ROMBLON PROVINCIAL	----->HOSPITAL Odiongan, Romblon
ROMUALDEZ-KATIKU	----->COMMUNITY HOSPITAL Romualdez, Pres. Quirino Sultan Kudarat
ROQUERO HOSPITAL	----->Sapang Palay San Jose del Monte City, Bulacan
ROSARIO MEMORIAL HOSPITAL	----->San Roque, Guagua, Pampanga
ROSARIO-TRINIO MEDICAL	----->CLINIC Labrador, Pangasinan
ROSARY OF VIRGIN MARY	----->HOSPITAL Sta. Elena, Camarines Norte
ROXAS DISTRICT HOSPITAL	----->Odiong, Roxas, Oriental Mindoro
ROXAS MEDICARE HOSPITAL	----->Roxas, Palawan
ROXAS MEMORIAL PROVINCIAL	----->HOSPITAL Arnaldo Blvd. Roxas City, Capiz
RUGAY MATERNITY AND	----->GENERAL HOSPITAL Sabang Baliuag, Bulacan
SDS MEDICAL CENTER	----->Concepcion Dos, Marikina City
SMD GENERAL HOSPITAL	----->Menor St. Ext., Pangarungan Village, Marawi City, Lanao del Sur
S.M. LAO MEMORIAL CITY	----->GENERAL HOSPITAL Manabay, Misamis Occidental
SS LUMAPAS HOSPITAL	----->Molave, Zamboanga del Sur
SSMC- SATELITE HOSPITAL	----->Abutan Bldg., Gen. Trias, Cavite
SSMC - SATELLITE HOSPITAL -	----->ROSARIO BRANCH Rosario, Cavite City
SABAL HOSPITAL INC.	----->Cagayan de Oro City, Misamis Oriental
SABALLA-ROSARIO HOSPITAL	----->Binalonan, Pangasinan
SABATER HOSPITAL	----->Caruncho Ave. San Nicolas Pasig City
SABTANG COMMUNITY HOSPITAL	----->Sabtang, Batanes
SANCTISSIMO ROSARIO GEN. HOSPITAL	----->2 Espiritu St., Marulas Valenzuela City
SACRED HEART HOSPITAL	----->OF MALOLOS, INC. Maguinhawa, Malolos, Bulacan
SACRED HEART HOSPITAL	----->Villaznar, Rd., Urgello, Cebu
SACRED HEART MEDICAL CENTER	----->Sto. Domingo, Angeles City Pampanga
SACRED HEART MEDICAL	----->SPECIALIST HOSPITAL Midsayap, North Cotabato
SAGRADA FAMILIA HOSPITAL	----->Tangos, Baliuag, Bulacan
SAGRADO MEDICAL &	----->CHILDREN'S CLINIC Brooke's Point, Palawan
SALAZAR POLYCLINIC	----->Atienza, Lemery, Batangas
SALCEDO MEDICARE &	----->COMMUNITY HOSPITAL Salcedo, Ilocos Sur
SALOMON MANGILET	----->MATERNITY & MEDICAL CLINIC Kapalong, Davao del Norte
SALUG VALLEY MEDICAL CENTER	----->(formerly IGANO COMMUNITY HOSPITAL) Molave, Zamboanga Del Sur
SALVACION CLINIC	----->Sipocot, Camarines Sur
SALVACION OPPUS YNIGUEZ MEMORIAL	----->HOSPITAL (formerlySOUTHERN LEYTE PROVINCIAL HOSPITAL Maasin, Southern Leyte
SALVADOR GENERAL HOSPITAL	----->Palimbo, Concepcion, Tarlac
SALVE REGINA GENERAL	----->HOSPITAL, INC. Dela Paz, Pasig City
SAMAL DISTRICT HOSPITAL	----->Peñaplata , Igacos, Davao del Norte
SAMAR PROVINCIAL HOSPITAL	----->Catbalogan, Samar
SAMPALOC MEDICARE	----->COMMUNITY HOSPITAL Sampaloc, Quezon
SAN ANDRES MUNICIPAL	----->HOSPITAL San Andres, Romblon
SAN ANTONIO DISTRICT	----->HOSPITAL San Mariano, San Antonio Nueva Ecija
SAN ANTONIO DISTRICT	----->HOSPITAL San Antonio, Northern Samar
SAN ANTONIO MEDICAL	----->CENTER OF LIPA, INC. C.M. Recto Ave.,Lipa City
SAN CARLOS CITY HOSPITAL	----->San Carlos City Negros Occidental
SAN CARLOS DOCTORS	----->HOSPITAL Nat'l H-way, San Carlos City, Negros Occidental
SAN DIEGO DE ALCALA	----->GENERAL HOSPITAL AguinaldoSt., cor. D.Tanada Gumaca, Quezon
SAN DIEGO GENERAL HOSPITAL	----->Banga, Plaridel, Bulacan
SANDIG MEDICAL CLINIC	----->& HOSPITAL Ledesma St., Tacurong Sultan Kudarat, Tacurong City
SAN FERNANDINO HOSPITAL	----->Bo. Dolores, San Fernando City Pampanga
SAN FRANCISCO MUNICIPAL	----->HOSPITAL Brgy. Cawayan I, San Francisco Quezon
SAN GERONIMO GENERAL HOSPPITAL	----->Morong, Rizal
SAN ISIDRO HOSPITAL	----->Angono, Rizal
SAN JOSE CITY GENERAL HOSPITAL	----->San Jose City, Nueva Ecija
SAN JOSE DISTRICT HOSPITAL	----->San Jose, Batangas
SAN JOSE DISTRICT HOSPITAL	----->San Jose, Occ. Mindoro
SAN JOSE DISTRICT HOSPITAL	----->San Jose, Romblon
SAN JOSE HOSPITAL AND	----->TRAUMA CENTER Gen. Mariano alvarez, Cavite City
SAN JOSE HOSPITAL AND	----->TRAUMA CENTER Mayapa, Calamba City, Laguna
SAN JOSE MEDICARE	----->COMMUNITY HOSPITAL San Jose, Camarines Sur
SAN JUAN BAUTISTA HOSPITAL	----->Nandacan, Bautista, Pangasinan
SAN JUAN DE DIOS	----->EDUCATIONAL FOUNDATION 2772 Roxas Blvd., Pasay City
SAN JUAN DISTRICT HOSPITAL	----->Talihiban San Juan, Batangas
SAN JUAN DOCTOR'S HOSPITAL, INC.	----->Brgy. Calit Calit, San Juan, Batangas
SAN JUAN MEDICAL CENTER	----->N. Domingo St., Sta. Cruz, Manila
SAN LAZARO HOSPITAL	----->Quiricada St., Sta. Cruz, Manila
SAN LORENZO HOSPITAL HEALTH	----->MANAGEMENT CO., INC. Quirino Highway Brgy., Pasong Putik, Novaliches, Quezon City
SAN LORENZO HOSPITAL HEALTH	----->MANAGEMENT CO., INC. Susano Rd., Deparo Street Caloocan City
SAN LORENZO RUIZ	----->WOMEN'S HOSPITAL Santulan, Malabon
SAN LUIS DISTRICT HOSPITAL	----->San Luis, Pampanga
SAN MARCELINO DISTRICT	----->HOSPITAL San Marcelino, Zambales
SAN MARIANO MEDICARE	----->COMMUNITY HOSPITAL San Mariano, Isabela
SAN MIGUEL COMMUNITY	----->HOSPITAL San Miguel, Surigao del Sur
SAN MIGUEL DISTRICT HOSPITAL	----->Sta. Rita Old, San Miguel Bulacan
SAN MIGUEL MUNICIPAL	----->INFIRMARY HOSPITAL San Miguel, Bohol
SAN NARCISO MUNICIPAL	----->HOSPITAL Brgy Bayanihan, San Narciso, Quezon
SAN PABLO CITY GENERAL	----->HOSPITAL San Jose, San Pablo City
SAN PABLO COLLEGES	----->MEDICAL CENTER San Rafael, San Pablo City Laguna
SAN PABLO DOCTORS HOSPITAL	----->55 A. Mabini, San Pablo City Laguna
SAN PASCUAL BAYLON MATERNITY	----->AND GENERAL HOSPITAL Prov'l Rd., Brgy.Sto.Niño Paombong, Bulucan
SAN PEDRO HOSPITAL OF	----->DAVAO CITY, INC. Sta. Ana, Davao City
SAN PEDRO MUNICIPAL HOSPITAL	----->Puesto Azul Ph. 1 San Pedro, Laguna
SAN RAMON HOSPITAL	----->38 Gen. Ordoñez Street Marikina City
SAN ROQUE HOSPITAL	----->Liang, Malolos, Bulacan
SAN ROQUE MEDICAL CLINIC	----->249 T. Montillano St. Alabang, Muntinlupa City
SAN SEBASTIAN DISTRICT HOSPITAL	----->Sablayan, Occ. Mindoro
SAN VICENTE DISTRICT HOSPITAL	----->San Vicente, Northern Samar
SANTIAGO'S PEDIATRIC HOSPITAL	----->J. P. Rizal St., Sta. Maria, Bulacan
SANTISSIMA TRINIDAD HOSPITAL	----->Pinagbakahan, Malolos City, Bulacan
SANTISSIMA TRINIDAD	----->HOSPITAL OF DAET Camambuangan, Daet Camarines Norte
SANCTISSIMO ROSARIO	----->GENERAL HOSPITAL Marulas, Valenzuela City
SANTOS GENERAL HOSPITAL	----->OF MALOLOS, INC. F. Estrella St., Sto. Rosario Malolos, Bulacan
SARANGANI MUNICIPAL	----->HOSPITAL Sarangani, Sarangani
SAROMA HOSPITAL	----->Malalag, Davo del Sur
SCHISTOSOMIASIS HOSPITAL	----->Palo, Leyte
SEAMEN'S HOSPITAL	----->Cabildo Street, Intramuros Manila
SEBASTE COMMUNITY HOSPITAL	----->Sebaste, Antique
SEMIRARA COAL CORP. HOSP.	----->Semirara Island, Caluya Antique
SEN. GERARDO M. ROXAS	----->MEMORIAL HOSPITAL Dao, Capiz
SEN. NINOY AQUINO	----->MUNICIPAL HOSPITAL Poblacion Sen. Ninoy Aquino Sultan Kudarat
SEÑOR STO. NIÑO HOSPITAL	----->Burgos St., Camiling, Tarlac
SEÑOR STO. NIÑO HOSPITAL, INC.	----->Pob. Sur, Mayambang, Pangasinan
SEÑOR TESORO HOSPITAL	----->Pob. ll Victoria, Oriental Mindoro
SEVERO VERALLO MEMORIAL	----->HOSPITAL Bogo, Cebu
SIARGAO DISTRICT HOSPITAL	----->Dapa, Surigao del Norte
SIASI DISTRICT HOSPITAL	----->Siasi, Sulu
SIBUTAD MUNICIPAL HOSPITAL	----->Sibutad, Zamboanga del Norte
SIBUYAN DISTRICT HOSPITAL	----->Cajidiocan, Romblon
SILANG GENERAL HOSPITAL	----->M. H. Del Pilar St., Silang, Cavite
SILLIMAN MEDICAL CENTER	----->Aldecoa Road, Laguna Dumaguete City, Negros Oriental
SILVA'S CLINIC	----->Tanauan City, Batangas
SIMBULAN STO. NIÑO HOSPITAL	----->Don Carlos, Bukidnon
SINAIT DISTRICT HOSPITAL	----->Sinait, Ilocos Sur
SINAWILAN CLINIC & HOSPITAL	----->Matanao, Davao del Sur
SINDANGAN DISTRICT HOSP.	----->Sindangan, Zamboanga del Norte
SING MEDICAL SERVICES DIAGNOSTIC	----->CENTER & HOSPITAL (formerly SING CLINIC AND HOSPITAL Baltazar Subd., Paniqui, Tarlac
SIPOCOT DISTRICT HOSPITAL	----->Sipocot, Camarines Sur
SIRUMA MUNICIPAL HOSPTAL	----->Siruma, Camarines Sur
SIQUIJOR PROVINCIAL	----->HOSPITAL Siquijor, Siquijor
SOCORRO DISTRICT HOSPITAL	----->Socorro, Surigao del Norte
SOGOD DISTRICT HOSPITAL	----->Sogod, Southern Leyte
SOHAYA MEDICAL AND	----->DIAGNOSTIC HOSPITAL Marawi City
SOLER GENERAL HOSPITAL	----->Mabini St., Bgy. 6, Sariaya, Quezon
SOLLER GENERAL HOSPITALP	----->Vira, Roxas, Isabela
SOLOMON'S HOSPITAL	----->San Juan, Batangas
SOMOSO GENERAL HOSPITAL	----->Panabo, Davao del Norte
SORIANO LEYBLE MEDICAL	----->AND MATERNITY HOSPITAL 144 San Jose St., San Isidro Antipolo City
SORILLA MEDICAL AND	----->MATERNITY CLINIC AND HOSPITAL National Highway, Tulunan North Cotabato
SORSOGON MEDICAL	----->MISSION GROUP HOSP. & HEALTH SERVICE COOP. Sorsogon City
SOUTH COTABATO	----->PROVINCIAL HOSPITAL Koronadal, South Cotabato
SOUTH DAVAO MEDICAL	----->SPECIALIST Padala, Davao del Sur
SOUTH M'LANG MEDICAL CLINIC	----->AND HOSPITAL (former Notre Dame Clinic) M'lang, North Cotabato
SOUTH SUPERHIGHWAY	----->MEDICAL CENTER Km. 17 West Service Rd. South Superhighway Parañaque City
SOUTH UPI MUNICIPAL HOSP.	----->South UPI, Maguindanao
SOUTHERN ISABELA	----->GENERAL HOSPITAL Santiago City, Isabela
SOUTHERN LUZON HOSPITAL	----->AND MEDICAL CENTER Greenfield Ave., Don Jose, Sta. Rosa City Laguna
SOUTHERN NEGROS	----->DOCTORS HOSPITAL Mabinay Highway Kabankalan City, Negros Occ.
SOUTHERN PALAWAN	----->PROVINCIAL HOSPITAL Brookes Point, Palawan
SOUTHERN PHILIPPINES MEDICAL	----->CENTER (fornerly Davao Medical Center) Bajada, Davao City
SPECIALIST GROUP HOSP.	----->AND TRAUMA CENTER Tapuac District, Dagupan City
ST. ANDREW HOSPITAL	----->Talisay, Batangas
ST. ANN MEDICAL HOSPITAL	----->Poblacion, Quezon, Bukidnon
ST. ANNE CLINIC	----->Cabadbaran, Agusan del Norte
ST. ANNE GENERAL HOSPITAL, INC.	----->51 Gomez St., Red V Lucena City, Quezon
ST. ANTHONY COLLEGE	----->HOSPITAL San Roque Ext., Roxas City
ST. ANTHONY MOTHER	----->AND CHILD HOSPITAL San Nicolas, Basak, Cebu City
ST. ANTHONY OF MARIKINA	----->MEDICAL CENTER San Roque, Marikina City
ST. CAMILLUS HOSPITAL	----->Calbayog City, Samar
ST. CAMILLUS HOSPITAL	----->OF MATI FOUNDATION, INC. Madang, Mati, Davao Oriental
ST. CATHERINE HOSPITAL	----->Central East I, Bagar, La Union
ST. CATHERINE OF ALEXANDRIA	----->FOUNDATION AND MEDICAL CENTER (formerly St. Catherine of Alexandria Maternity and Child Care Clinic) 4163 Rizal Ext., Angeles City
ST. CECILIA HOSPITAL	----->Tiaong, Quezon
ST. CHRISTIANA MATERNITY	----->LYING-IN CLINIC Manggahan, Pasig City
ST. CLAIRE HOSPITAL	----->Quezon, Bukidnon
ST. CLAIRE'S MEDICAL CENTER	----->1838 Dian Street, Palanan Makati City
ST. CLEMENT MEDICAL CLINIC	----->Alaminos, Laguna
ST. DOMINIC MEDICAL	----->CENTER, INC. Talaba, Bacoor, Cavite
ST. FELIX MEDICAL HOSPITAL	----->Bago Aplaya, Talorio, Davao City
ST. FRANCES CABRINI	----->MEDICAL CENTER Sto. Tomas, Batangas
ST. FRANCIS OF ASSISI MATERNITY	----->AND GENERAL HOSPITAL 289 St. Francis, Meycauayan, Bulacan
ST. GABRIEL HOSPITAL	----->Kalibo, Aklan
ST. JAMES HOSPITAL	----->Pantay Dayan, Vigan City
ST. JAMES HOSPITAL AND	----->MEDICAL CLINIC Compostela, Compostela Valley
ST. JAMES HOSPITAL, INC.	----->Sta. Rosa, Laguna
ST. JAMES THE GREATER	----->HOSPITAL Santiago St. Pob. Ibaan Batangas
ST. JOHN GENERAL	----->HOSPITAL I Buug, Zamboanga Sibugay
ST. JOHN HOSPITAL	----->Rasay St., Toril, Davao City
ST. JOHN HOSPITAL	----->Gao, Camarines Sur
ST. JOHN HOSPITAL, INC.	----->Panganiban St., Naga City
ST. JOHN MEDICAL AND	----->MATERNITY CLINIC Cabiao, Nueva Ecija
ST. JOHN THE APOSTLE	----->HOSPITAL Labo, Camarines Norte
ST. JOHN THE BAPTIST	----->MEDICAL CENTER INC. Parian, Calamba City, Laguna
ST. JOSEPH MEDICAL CLINIC	----->Dimasalang, Masbate
ST. JOSEPH MEDICAL CLINIC	----->Magallanes, Agusan del Norte
ST. JOSEPH SOUTHERN	----->BUKIDNON HOSPITAL Sayre Highway, Mararag Bukidnon
ST. JUDE CLINIC AND HOSPITAL	----->Baao, Camarines Sur
ST. JUDE CLINIC AND HOSPITAL	----->Sto. Niño, South Cotabato
ST. JUDE FAMILY HOSPITAL	----->Batong Malaki, Los Baños, Laguna
ST. JUDE HOSPITAL AND	----->MEDICAL CENTER Dimasalang, Sampaloc, Manila
ST. JUDE HOSPITAL OF LABO	----->Labo, Camarines Norte
ST. JUDE MEDICAL CLINIC	----->Bulan, Sorsogon
ST. JUDE'S HOSPITAL, INC.	----->Kalibo, Aklan
ST. JUDE THADDEUS WOMEN	----->AND CHILDREN'S HOSPITAL Brgy. 6, Malaybalay City, Bukidnon
ST. LAWRENCE HOSPITAL	----->Poblacion III, Victoria Oriental Mindoro
ST. LOUIS MEDICAL CLINIC	----->AND HOSPITAL 23 Judge Quirino Mercado Ave., Tacurong City, Sultan Kudarat
ST. LOUIS UNIVERSITY HOSP.	----->OF THE SACRED HEART Assumption Rd., Baguio City
ST. LUKE'S MEDICAL CENTER	----->279 E. Rodriguez Sr. Blvd., Quezon City
ST. LUKE'S MEDICAL CENTER	----->- GLOBAL CITY Bonifacio Global City, Taguig
ST. MAGDALENE HOSPITAL	----->San Jose, Occidental Mindoro
ST. MARTIN DE PORRES	----->CHARITY HOSPITAL 70 A. Bonifacio St., San Juan
ST. MARTIN DE PORRES	----->HOSPITAL Candon, Ilocos Sur
ST. MARTIN DE PORRES	----->MEDICAL CLINIC Masbate City
ST. MARTIN MATERNITY &	----->PEDIATRICS HOSPITAL Noveleta, Cavite
ST. MARTIN'S MISSION HOSPITAL	----->San Roque, Pob., Sablayan, Occidental Mindoro
ST. MARY OF LOURDES	----->GENERAL HOSPITAL (former St. Mary General Hospital) Toril,Davao City
ST. MARY'S MATERNITY AND	----->CHILDREN'S HOSPITAL, INC. Quezon Ave. Ext., Villaverde Iligan City, Lanao del Norte
ST. MARY'S MEDICAL SERVICES,	----->INC. (formerly St. Mary's Hospital) J. P. Rizal St., Poblacion Sta. Maria, Bulacan
ST. MATTHEWS MEDICAL HOSPITAL	----->60 Gen. Luna, Banaba San Mateo, Rizal
ST. MAZENOD HOSPITAL	----->Silang, Cavite
ST. MICHAEL FAMILY HOSPITAL	----->Marilao, Bulacan
ST. MICHAEL GENERAL HOSPITAL	----->Bacacay, Albay
ST. MICHAEL MEDICAL CENTER	----->220 Bacoor, Cavite
ST. NAZARIUS MEDICAL CLINIC	----->Malvar, Batangas
ST. NICHOLAS DOCTORS	----->HOSPITAL Abelo, San Nicolas, Batangas
ST. PATRICK'S HOSPITAL AND	----->MEDICAL CENTER, INC. Lopez Jaena St., Batangas City
ST. PAUL GENERAL HOSPITAL	----->Quezon St., Pinamalayan Oriental Mindoro
ST. PAUL'S HOSPITAL	----->Gen. Luna Street, Iloilo City
ST. PAUL'S HOSPITAL	----->BULACAN, INC. Biñang II, Bocaue, Bulacan
ST. PAUL HOSPITAL CAVITE, INC.	----->Dasmariñas, Cavite
ST. PAUL HOSPITAL OF	----->TUGUEGARAO Ugac Hi-way, Tuguegarao City
ST. PETER CLAVER HOSPITAL	----->(former St. Luke's Emergency Hospital) Dagupan, Tabuk, Kalinga
ST. PETER GENERAL HOSPITAL	----->Quezon St., Calauag, Quezon
ST. RAFHAEL HOSPITAL	----->Baao, Camarines Sur
ST. RAPHAEL FOUNDATION	----->AND MEDICAL CENTER Dau, Mabalacat, Pampanga
ST. THEODORE'S HOSPITAL	----->Segada, Mt. Province
ST. THERESA WELLNESS	----->CENTER Talogtog, Dolores, Abra
ST. THERESE HOSPITAL	----->Layawan BonifacioOroquieta City, Misamis Occidental
ST. THERESE-MTC COLLEGES	----->HOSPITAL Jalandoni, San Agustin, Iloilo City
ST. THERESE OF THE	----->CHILD JESUS HOSPITAL INC. Jimenez St., Bacon District, Sorsogon
ST. THOMAS AQUINAS HOSPITAL	----->Sta. Fe Subdivision, Binalonan Pangasinan
ST. VICTORIA HOSPITAL	----->444 J. P. Rizal St., Lamuan Marikina City
ST. VINCENT DE FERRER HOSP.	----->Gao, Camarines Sur
ST. VINCENT DE PAUL COLLEGE	----->& MATERNITY AND HOSPITAL Mangagoy, Bislig City, Surigao del Sur
ST. VINCENT DE PAUL HOSPITAL	----->Sto. Tomas, Batangas
ST. VINCENT EENT HOSPITAL	----->Poblacion, Bustos, Bulacan
ST. VINCENT GENERAL HOSPITAL - CEBU CITY	----->210-D Osmeña Blbd., Ext., Cebu City
ST. VINCENT HOSPITAL	----->149 South 2nd St., Tangub City Misamis Occidental
ST. VINCENT HOSPITAL	----->Masbate City
ST. VINCENT MEDICAL CLINIC	----->Lungsoda-an, Hinundayan South Leyte
STA. ANA COMMUNITY HOSPITAL	----->Centro, Sta. Ana, Cagayan Valley
STA. ANA HOSPITAL	----->New Panaderos St., Sta. Ana, Manila
STA. CECILIA MEDICAL CENTER	----->Iba, Zambales
STA. CLARA DE MONTEFALCO	----->MEDICAL CENTER, INC. Km. 20 Service Rd., North Expressway Malhacan Meycauayan, Bulacan
STA. CRUZ COMMUNITY HOSPITAL	----->Sta. Cruz, Occidental, Mindoro
STA. CRUZ DISTRICT HOSPITAL	----->Brgy. Lapu-Lapu Sta. Cruz, Marinduque
STA. CRUZ HOSPITAL	----->Calumpit, Bulacan
STA. CRUZ LAGUNA POLYMEDIC INC.	----->780 Nat'l. Hi-way, Patimbao Sta. Cruz, Laguna
STA. ISABEL GENERAL	----->HOSPITAL, INC. Sta. Filomena, Dipolog City
STA. LUCIA DISTRICT HOSPITAL	----->Sta. Lucia, Ilocos Sur
STA. MARCELA DISTRICT HOSPITAL	----->Sta. Marcela, Kalinga
STA. MARIA MEDICAL CLINIC	----->AND HOSPITAL Sta. Maria, Davao del Sur
STA. MARIA VILLAGE CLINIC	----->Calapan City, Oriental Mindoro
STA. MARIA JOSEFA	----->FOUNDATION HOSPITAL Francia, Iriga City, Camarines Sur
STA. MONICA HOSPITAL	----->138 A. Bonifacio Ave. Tañong, Marikina City
STA. MONICA MUNICIPAL	----->HOSPITAL Sta. Monica, Surigao del Norte
STA. RITA DE BACLARAN HOSPITAL	----->95 G. Cruz Street, Baclaran Parañaque City
STA. ROSA COMMUNITY	----->HOSPITAL Olango Island, Lapu-Lapu City
STA. ROSA COMMUNITY	----->HOSPITAL Sta. Rosa, Laguna
STA. ROSA HOSPITAL &	----->MEDICAL CENTER RSBS Blvd. San Lorenzo Subd. Balibago, Sta. Rosa City, Laguna
STA. TERESITA HOSPITAL, INC.	----->Marcos, Ilocos Norte
STA. TERESITA GENERAL	----->HOSPITAL 100 D. Tuazon St., Quezon City
STO. DOMINGO DISTRICT	----->HOSPITAL Pulong Bule, St. Domingo Nueva Ecija
STO. NIÑO DE CASIPIT HOSPITAL	----->Lingayen, Pangasinan
STO. NIÑO HOSPITAL	----->Poblacion, Bustos, Bulacan
STO. NIÑO HOSPITAL	----->Brgy. Baliw Laud, Sta. Maria Ilocos Sur
STO. NIÑO HOSPITAL	----->Mercedes Rd., Daet, Camarines Norte
STO. NIÑO OF PHILEX	----->MINES HOSPITAL Padcal, Tuba, Benguet
STO. NIÑO MEDICAL CLINIC	----->Cuenca, Batangas
STO. ROSARIO HOSPITAL	----->Rosario, Batangas
STO. ROSARIO MATERNITY	----->AND MEDICAL CLINIC Rizal St., Dinalupihan, Bataan
STO. TOMAS GENERAL HOSPITAL	----->Pres. Laurel Highway San Roque, Batangas
STO. TOMAS UNIVERSITY	----->HOSPITAL España, Sampaloc, Manila
STO. TOMAS MUNICIPAL HOSPITAL	----->Malvar Ave., Pob. II, Sto. Tomas Batangas
STS. FRANCIS AND PAUL	----->GENERAL HOSPITAL Farconville Subd.,San Pablo City
STS. PETER AND PAUL HOSPITAL	----->612 Alegre St., Balogo, Sorsogon
SUERO GENERAL HOSPITAL	----->Cabugao, Ilocos Sur
SULOP MEDICAL CLINIC	----->Sulop, Davao del Sur
SULTAN KUDARAT DOCTORS	----->HOSPITAL, INC. Tacurong Poblacion Sultan Kudarat
SULTAN KUDARAT MEDICAL	----->SPECIALIST CENTER, INC. Alunan H- Way, Tacurong Sultan Kudarat
SULTAN KUDARAT	----->PROVINCIAL HOSPITAL Isulan, Sultan Kudarat
